NAME	TITLE	SCORE	
Mfsd2a		4.0898094	
Gjb6		4.0849843	
Rhd		4.0841804	
Pdia3		4.0795074	
Clcn1		4.0769253	
Cops2		4.067361	
Syt13		4.065546	
Csde1		4.0562115	
Ccdc66		4.0552273	
Ccdc38		4.0487013	
Tspan6		4.048578	
Podnl1		4.0485535	
Gm11837		4.0397487	
4930482G09Rik		4.0387	
Rmc1		4.0290303	
Ap3s1		4.018523	
Tgfbr1		4.013133	
Rnf14		4.0084534	
Atp1b3		4.0073514	
Snx2		3.996902	
Ube2w		3.983042	
Gm45871		3.9780965	
Trmt10b		3.968404	
Dnajc21		3.9612167	
Anxa5		3.958693	
Gm4450		3.9568675	
Best1		3.9527497	
Tstd3		3.9515152	
Ccdc122		3.9506814	
Gng12		3.9503608	
Ddx52		3.9469733	
Spryd7		3.942326	
Rwdd2a		3.939313	
Ccnh		3.9356432	
Zmpste24		3.9321947	
Gm32200		3.9317083	
Syt4		3.9311874	
Abhd10		3.9283018	
Mir8094		3.9220474	
Tmem47		3.921568	
Ddx4		3.9214606	
D3Ertd751e		3.9185915	
1700012C14Rik		3.918513	
Yipf5		3.9135065	
Hrh1		3.9091866	
Tmbim1		3.9090319	
Rhou		3.9047852	
Ppp1r21		3.904074	
D630010B17Rik		3.8970313	
Plin3		3.8869438	
Anp32e		3.8851628	
Ubxn8		3.8820593	
Fyttd1		3.8805897	
Malt1		3.8768375	
Yipf6		3.8734188	
Olfr287		3.8723443	
Zcchc10		3.8648033	
Kcnip4		3.8616574	
Pglyrp1		3.8613174	
Mcm3		3.859539	
Fcho2		3.8594391	
B4galt7		3.8582008	
Ptp4a2		3.8576338	
Snora20		3.8571677	
Evc2		3.8524384	
Rpl7		3.8492985	
M6pr		3.840664	
Elovl4		3.8405645	
Acadl		3.8387136	
Trim12c		3.8373866	
Gns		3.8348575	
Nr5a2		3.8301442	
Rnf128		3.8300166	
B4galt4		3.827034	
Wdr93		3.8201826	
Trp53inp1		3.8197277	
Vps26a		3.8177323	
Bnip3		3.8175802	
Rps7		3.817489	
Tmed7		3.8157778	
Fam98a		3.8124747	
Mall		3.8065095	
Taf13		3.803429	
Gskip		3.8028123	
Mir24-2		3.7909238	
Zfp386		3.790372	
Mtx2		3.789897	
Rab1a		3.7830703	
Cers3		3.781262	
Ivd		3.780939	
Acer3		3.7773712	
Mal		3.7730663	
Tex29		3.7707498	
Paqr8		3.7699873	
Xbp1		3.7683923	
Slc26a3		3.7680864	
Snx24		3.7601404	
Rnf4		3.7599988	
Nfia		3.7570488	
Metap1		3.7550087	
Zfp617		3.7524738	
Tmem200a		3.7518616	
Zfp979		3.7517133	
Cd38		3.7502823	
2610524H06Rik		3.7468321	
Ube2b		3.7429817	
Trnt1		3.7428005	
Sec11a		3.741521	
Cd200		3.7393992	
Cfap47		3.7350433	
Map3k15		3.7288315	
Cdkn1b		3.7238832	
Srp9		3.7173254	
Selenoo		3.7171967	
