"","genes","logFC","logCPM","F","PValue","FDR"
"11701","ENSMUSG00000044551",-0.204628486979167,1.02047360188877,0.625369827242675,0.434042054740966,0.811705798170034
"11702","ENSMUSG00000022090",0.025123141668901,4.4224137141311,0.0241097675144807,0.877440434761051,0.969996811397397
"11703","ENSMUSG00000022091",-0.0446550197039471,5.62901423234065,0.195758991732909,0.660712802978488,0.904857467861672
"11704","ENSMUSG00000115186",-0.284548637043233,1.70289110930802,1.71112322695537,0.198817895555832,0.659595814321108
"11705","ENSMUSG00000022092",-0.123060057094799,3.64516420393143,1.18743281637129,0.282815314226161,0.726209990364761
"11706","ENSMUSG00000022094",-0.0266169141728384,4.29135798357087,0.0555596973779358,0.814942122148388,0.954422712054687
"11707","ENSMUSG00000058745",-0.292805122523485,0.440418429126208,0.766083305669186,0.387014651404214,0.789077555894157
"11708","ENSMUSG00000033644",-0.677593285989248,-0.512712336341731,2.71479796441515,0.107793940059105,0.582385501590354
"11709","ENSMUSG00000000776",0.0615989445203494,4.41670375849797,0.340035610462875,0.563306475416362,0.868696920108115
"11710","ENSMUSG00000003469",0.305960605671038,9.70230527153883,6.6564861327274,0.0139354791790262,0.459793834280091
"11711","ENSMUSG00000022098",-0.168106984348257,5.45384084122659,1.70843748032774,0.199162928522138,0.659820000498767
"11712","ENSMUSG00000022097",0.0919516988037216,-0.376534125481103,0.0322986784666657,0.858343298711153,0.965679651988584
"11713","ENSMUSG00000033595",-0.14180429212695,7.09062983807919,2.01027579264623,0.164510310561882,0.628785626004946
"11714","ENSMUSG00000033589",-0.148804877062604,2.03027050004534,0.478999201637168,0.493148128747367,0.840065529900008
"11715","ENSMUSG00000022096",0.174034201203032,5.25719138555217,1.3028255286015,0.260949144029496,0.709515140386699
"11716","ENSMUSG00000045211",0.187762160470055,5.52170664009762,2.94040003643908,0.0946606284934254,0.568402565202629
"11717","ENSMUSG00000022095",-0.0850371685234734,5.90492875270798,1.02683549253633,0.317410167857905,0.749367153531749
"11718","ENSMUSG00000022099",0.20382102220196,8.75933397965987,5.1657204704869,0.0288687354456082,0.482707480792791
"11719","ENSMUSG00000022101",-0.515600674954595,0.64783776756492,1.77385671382428,0.190960755376267,0.653188149627469
"11720","ENSMUSG00000047911",0.239555920416502,-0.723912523807691,0.158087139481987,0.693182727868295,0.916282517143473
"11721","ENSMUSG00000022100",0.00151252273549407,5.85647249153637,0.000485174237601394,0.982543709218394,0.996946149609128
"11722","ENSMUSG00000022102",0.102924054473628,0.61090168049764,0.153096175875054,0.697812917466021,0.917616751907681
"11723","ENSMUSG00000022103",0.236392034621562,5.69182522648693,3.2939142078866,0.0775584719498248,0.551183718632094
"11724","ENSMUSG00000033487",0.0299554170698072,4.48146876944252,0.10052235813194,0.7529657672671,0.935782834266971
"11725","ENSMUSG00000033470",-0.119738239076883,-0.896250126246076,0.0282105398703734,0.867519224854194,0.967136304571497
