"","B2101","B2102","B2103","B2104","B2105","B2111","B2112","B2113","B2115"
"ENSMUSG00000108321",4.3806143856647,1.85797760713653,1.14371630679122,4.01038982836609,4.97340619821629,2.54364541801293,5.68026875711676,0.975525501784416,0
"ENSMUSG00000038797",128.790062938542,117.052589249602,147.539403576067,132.342864336081,180.285974685341,110.22463478056,103.191549087621,117.06306021413,141.70493478788
"ENSMUSG00000025722",417.910612392413,444.056648105631,382.001246468266,379.984436237687,460.040073335007,342.544249625741,402.35237029577,370.699690678078,441.785973162215
"ENSMUSG00000025723",31.5404235767859,30.6566305177528,17.1557446018682,20.0519491418304,23.6236794415274,43.2419721062197,33.1349010831811,44.8741730820831,34.3842856470592
"ENSMUSG00000025724",336.431184819049,365.092599802329,284.785360391013,319.828588812196,308.35118428941,312.86838641559,311.468070181902,372.650741681647,360.514025269166
"ENSMUSG00000109390",8.76122877132941,4.64494401784133,2.28743261358243,5.01298728545761,2.48670309910815,5.08729083602585,1.89342291903892,3.90210200713766,2.08389609982177
"ENSMUSG00000109367",4.3806143856647,0,5.71858153395608,8.02077965673218,11.1901639459867,3.39152722401723,0.946711459519459,0.975525501784416,7.2936363493762
"ENSMUSG00000109008",14.0179660341271,21.3667424820701,12.5808793747034,13.0337669421898,17.406921693757,16.9576361200862,13.2539604332724,9.75525501784416,14.5872726987524
"ENSMUSG00000005621",335.555061941916,337.222935695281,415.169019365211,394.020800636968,397.872495857303,353.566713103797,380.578006726823,365.822063169156,353.22038891979
"ENSMUSG00000038763",12.2657202798612,16.7217984642288,18.2994609086594,13.0337669421898,6.21675774777037,13.5661088960689,13.2539604332724,5.8531530107065,12.5033765989306
"ENSMUSG00000025726",0.876122877132941,6.50292162497787,12.5808793747034,1.00259745709152,2.48670309910815,2.54364541801293,2.84013437855838,0,3.12584414973266
"ENSMUSG00000083820",12.2657202798612,65.9582050533469,34.3114892037365,42.1090931978439,23.6236794415274,20.3491633441034,23.6677864879865,35.118918064239,33.3423375971483
"ENSMUSG00000025584",215.526227774703,274.980685856207,332.821445276244,279.724690528535,272.293989352342,339.152722401723,289.693706612955,305.339482058522,220.892986581108
"ENSMUSG00000083774",16.6463346655259,23.2247200892067,14.8683119882858,15.0389618563728,16.163570144203,22.044926956112,17.0408062713503,29.2657650535325,21.8809090481286
"ENSMUSG00000061787",3163.67970932705,3450.26441645254,3156.65700674375,2927.58457470724,3476.41093255319,2889.58119486268,2949.00619640312,3768.4550133932,2612.16376112659
"ENSMUSG00000025586",486.248196808782,522.091707605366,438.043345501035,448.16106331991,410.306011352844,525.686719722671,511.224188140508,453.619358329753,504.302856156869
"ENSMUSG00000109401",23.6553176825894,41.804496160572,34.3114892037365,16.0415593134644,23.6236794415274,30.5237450161551,23.6677864879865,18.5349845339039,23.9648051479504
"ENSMUSG00000062444",1862.63723678463,1807.81221174385,2022.09043040687,1818.71178716402,2213.16575820625,1648.28223087238,1752.36291157052,1790.0892957744,1943.2331130838
"ENSMUSG00000097277",112.143728273016,82.6800035175757,44.6049359648574,88.2285762240539,39.7872495857303,98.3542894964998,100.351414709063,93.6504481713039,81.2719478930491
"ENSMUSG00000104453",64.8330929078376,64.1002274462104,21.7306098290331,57.1480550542168,37.3005464866222,78.0051261523964,76.6836282210762,83.8951931534598,39.5940258966137
"ENSMUSG00000038663",0.876122877132941,0,4.57486522716486,4.01038982836609,7.46010929732444,4.23940903002154,2.84013437855838,6.82867851249091,3.12584414973266
"ENSMUSG00000045795",245.314405597223,275.909674659775,216.16238198354,236.612999873599,171.582513838462,209.426806083064,248.985113853618,290.706599531756,240.689999529415
"ENSMUSG00000109428",0,4.64494401784133,2.28743261358243,4.01038982836609,0,3.39152722401723,4.7335572975973,0,4.16779219964354
"ENSMUSG00000025813",171.720083918056,160.71506301731,261.911034255188,213.553258360494,267.320583154126,198.404342605008,215.850212770437,179.496692328333,264.654804677365
"ENSMUSG00000109194",32.4165464539188,29.7276417141845,33.1677728969452,24.0623389701965,41.0306011352844,34.7631540461767,14.2006718927919,31.2168160571013,28.1325973475939
"ENSMUSG00000038646",686.004212795093,771.98969576523,729.691003732795,688.784453021876,850.452459894986,712.220717043619,639.030235175635,604.825811106338,866.900777525857
"ENSMUSG00000025102",139.303537464138,157.928096606605,66.3355457938905,159.412995677552,99.4681239643258,109.376752974556,110.765240763777,120.965162221268,132.327402338682
"ENSMUSG00000025103",1352.73372229326,1333.09893312046,1411.34592258036,1451.76111786852,1365.20000141037,1443.94271562534,1439.9481299291,1353.05387097498,1322.23207533691
"ENSMUSG00000038623",261.960740262749,239.679111320613,252.761303800859,290.753262556541,246.183606811706,274.713705145396,280.22659201776,271.196089496068,271.948441026741
"ENSMUSG00000109243",6.13286013993059,8.3608992321144,3.43114892037365,9.0233771138237,2.48670309910815,5.08729083602585,10.4138260547141,3.90210200713766,8.33558439928708
"ENSMUSG00000025104",1142.46423178135,1091.56184419271,1234.06989502772,1258.25980864986,1160.04699573395,1164.14171964392,1178.65576710173,1163.80192362881,1158.6462315009
"ENSMUSG00000030638",886.636351658536,846.308800050691,998.464335828731,911.361088496193,979.76102104861,730.874116775714,852.987025027033,876.021900602405,786.670777682719
"ENSMUSG00000070469",15.7702117883929,9.28988803568267,8.00601414753851,15.0389618563728,13.6768670450948,9.3266998660474,5.68026875711676,16.5839335303351,9.37753244919797
"ENSMUSG00000038570",39.4255294709823,45.5204513748451,19.4431772154507,29.0753262556541,14.9202185946489,42.3940903002154,50.1757073545314,48.7762750892208,34.3842856470592
"ENSMUSG00000038563",145.436397604068,171.862928660129,156.689134030397,144.374033821179,193.962841730435,159.40177952881,133.486315792244,119.014111217699,153.1663633369
"ENSMUSG00000109383",0.876122877132941,0.928988803568267,0,1.00259745709152,0,0,4.7335572975973,4.87762750892208,7.2936363493762
"ENSMUSG00000057706",170.843961040923,136.561354124535,160.12028295077,187.485724476115,196.449544829544,128.030152706651,169.461351253983,165.839335303351,191.718441183603
"ENSMUSG00000038540",89.36453346756,74.3191042854613,54.8983827259783,88.2285762240539,57.1941712794874,71.2220717043619,106.978394925699,75.1154636374,88.5655842424253
"ENSMUSG00000087088",140.179660341271,104.046745999646,115.515346985913,135.350656707355,83.3045538201229,114.464043810582,143.900141846958,121.940687723052,87.5236361925144
"ENSMUSG00000046027",177.852944057987,194.158659945768,157.832850337188,189.490919390298,141.742076649164,117.007689228595,170.408062713503,158.035131289075,186.508700934049
"ENSMUSG00000001741",39.4255294709823,56.6683170176643,40.0300707376925,38.0987033694778,59.6808743785955,33.9152722401723,54.9092646521286,46.825224085652,45.845714196079
"ENSMUSG00000063902",383.741820184228,377.169454248716,275.635629936683,333.864953211477,254.887067658585,336.609076983711,305.787801424785,343.384976628114,321.961947422464
"ENSMUSG00000011154",32.4165464539188,38.0885409462989,46.8923685784398,20.0519491418304,53.4641166308251,50.0250265542542,53.0158417330897,51.702851594574,27.090649297683
"ENSMUSG00000109248",15.7702117883929,12.0768544463875,18.2994609086594,10.0259745709152,11.1901639459867,16.1097543140819,7.57369167615568,0,6.25168829946531
"ENSMUSG00000109450",83.2316733276294,55.739328214096,64.0481131803081,50.1298728545761,36.0571949370681,55.1123173902801,53.9625531926092,79.0175656445377,71.8944154438511
"ENSMUSG00000070462",1501.67461140586,1551.41130195901,1428.50166718223,1277.3091603346,1717.06848993417,1256.56083649839,1149.30771185662,1221.35792823409,1514.99246457043
"ENSMUSG00000038503",671.986246760966,680.948793015539,691.948365608685,645.67276236694,779.581421570404,646.085936175283,662.698021663622,654.577611697343,662.678959743323
"ENSMUSG00000108878",2.62836863139882,0.928988803568267,6.86229784074729,0,7.46010929732444,4.23940903002154,7.57369167615568,9.75525501784416,3.12584414973266
"ENSMUSG00000052353",56.0718641365082,46.4494401784133,46.8923685784398,79.2051991102302,38.5438980361763,72.9178353163705,69.1099365449205,46.825224085652,53.1393505454552
"ENSMUSG00000038459",442.442052952135,398.536196730786,481.504565159102,483.251974318114,568.211658146211,396.808685210016,388.151698402978,378.503894692353,419.905064114087
"ENSMUSG00000015709",2923.62204099262,2730.29809368714,3440.29865082798,3228.3638118347,3178.00656066021,3119.35716428985,3097.63989554767,2496.36975906632,3277.96856501965
"ENSMUSG00000109341",84.1077962047623,86.3959587318488,199.006637381671,138.35844907863,99.4681239643258,89.8754714364567,119.285643899452,52.6783770963585,110.446493290554
"ENSMUSG00000097789",193.62315584638,151.425174981627,268.773332095936,219.568843103043,202.666302577314,210.274687889069,213.010078391878,198.031676862236,184.424804834227
"ENSMUSG00000109513",22.7791948054565,21.3667424820701,21.7306098290331,16.0415593134644,18.6502732433111,22.8928087621163,11.3605375142335,11.706306021413,12.5033765989306
"ENSMUSG00000030630",430.176332672274,462.636424176997,327.102863742288,382.992228608961,437.659745443034,466.33499330237,493.236670409638,522.881668956447,361.555973319077
"ENSMUSG00000030629",415.282243761014,421.760916819993,452.911657489321,459.189635347917,395.385792758195,490.923565676495,462.941903705016,438.010950301203,453.247401711235
"ENSMUSG00000085236",28.912054945387,35.3015745355941,62.9043968735168,31.0805211698372,47.2473588830548,35.611035852181,23.6677864879865,20.4860355374727,33.3423375971483
"ENSMUSG00000068629",1.75224575426588,12.0768544463875,0,3.00779237127457,2.48670309910815,5.08729083602585,0,4.87762750892208,3.12584414973266
"ENSMUSG00000001773",133.170677324207,121.697533267443,147.539403576067,132.342864336081,129.308561153624,166.184833976844,143.900141846958,147.304350769447,161.501947736187
"ENSMUSG00000030562",0.876122877132941,8.3608992321144,0,2.00519491418304,0,3.39152722401723,1.89342291903892,2.92657650535325,2.08389609982177
