"","B1116","B1117","B1118","B1119","B1120","B1106","B1107","B1108","B1109","B1110"
"Pcsk1n",23983.5268474601,28341.900714156,36530.8300696151,31968.8703595161,39261.4367999178,31063.2738358946,32211.5044784753,36562.815958075,28754.8005734498,19522.6710174753
"Eras",0,0,0,0,0,0,0,0.901917066481042,0,0
"Hdac6",1026.54497138982,1174.45525969458,1200.57462437392,1302.97853238435,1282.92644261539,1153.16958077747,1190.55758344029,1186.92285948905,1043.52523024921,1096.14417976312
"Gata1",0,0,1.0974173897385,0,0.971913971678329,0,0,0,0,0
"Glod5",3.26232512094221,3.35079959969923,3.29225216921549,9.5368968518525,7.77531177342664,11.1238223226122,8.30621569842064,6.3134194653673,4.20776302519843,5.04670432671785
"Gm9429",2.17488341396147,0.837699899924807,5.48708694869249,0,0,1.85397038710204,1.84582571076014,0.901917066481042,0,7.06538605740498
"Suv39h1",637.240840290712,588.065329747214,666.132355571268,638.972089074118,674.508296344761,672.991250518039,697.722118667334,634.047697736173,820.513789913694,611.660564398203
"LOC100504708",0,0,0,0,0,0,0,0,0,0
"Was",28.2734843814992,27.6440966975186,46.0915303690169,48.8765963657441,52.4833544706298,34.2984521613877,44.2998170582434,53.2131069223815,53.64897857128,50.4670432671785
"Gm6787",8.69953365584589,6.70159919939845,10.974173897385,8.34478474537094,6.80339780174831,6.48889635485713,6.4603899876605,9.01917066481042,2.10388151259921,1.00934086534357
"Wdr13",5466.56946099216,4739.70603377456,3516.12531672215,3752.76891120396,3526.10388924898,4935.26917046562,4402.29432016294,3993.68877037805,4618.01992015528,6309.38974926265
"Rbm3",1767.0927738437,1714.77169514608,2422.00017915287,2275.7420112733,2130.4354259189,1802.05921626318,2189.14929296153,2204.28531047967,2044.97283024644,1587.69318118543
"2900002K06Rik",4.34976682792295,5.02619939954884,9.87675650764649,5.96056053240781,2.91574191503499,8.34286674195916,2.76873856614021,1.80383413296208,8.41552605039686,3.02802259603071
"Tbc1d25",337.106929164028,303.24736377278,389.583173357167,351.673071412061,347.945201860842,333.714669678366,326.711150804545,296.730714872263,366.075383192263,263.437965854672
"Ebp",317.532978438375,361.886356767516,417.018608100629,408.894452523176,465.54679243392,369.867092226856,355.321449321328,355.355324193531,393.425842856053,280.596760565512
"Porcn",1085.26682356678,1455.92242606931,1409.08392842423,1317.28387766213,1469.53392517763,1376.57301242326,1305.9216903628,1413.30404317579,1186.58917310596,1040.63043216922
"Ftsj1",463.250167173794,516.860838253606,596.995060017743,458.963160995402,549.131393998256,500.57200451755,424.539913474833,513.190810827713,569.099949158087,457.231412000637
"Slc38a5",41.322784865268,39.3718952964659,51.5786173177094,45.3002600462994,59.2867522723781,129.777927097143,35.0706885044427,46.8996874570142,69.4280899157741,66.6164971126756
"Ssxb10",0,0,0,0,0,0,0,0,0,0
"Ssxb9",0,0,0,0,0,0,0,0,0,0
"Ssxb1",0,0,0,0,0,0,0,0,0,0
"Ssxb2",0,0,0,0,0,0,0,0,0,0
"Gm14459",0,0,0,0,0,0,0,0,0,0
"Ssxb6",0,0,0,0,0,0,0,0,0,0
"Ssxb3",0,4.18849949962403,0,0,0.971913971678329,7.41588154840814,1.84582571076014,0,0,0
"Ssxb7",0,0,0,0,0,0,0,0,0,0
"Ssxb8",0,0,0,0,0,0,0,0,0,0
"Ssx9",0,0.837699899924807,0,0,0,0,0,0,0,0
"Ssxb5",0,0.837699899924807,0,0,0,0,0,1.80383413296208,0,0
"Gm6592",2.17488341396147,0,1.0974173897385,0,0,0.926985193551018,0.922912855380072,0.901917066481042,4.20776302519843,0
"Gm5751",0,4.18849949962403,2.194834779477,9.5368968518525,6.80339780174831,5.56191116130611,12.920779975321,10.8230047977725,0,7.06538605740498
"B630019K06Rik",1251.64540473483,1372.99013597676,1433.22711099848,1472.25845150473,1513.27005390316,1383.98889397167,1486.8126100173,1467.41906716466,1586.32666049981,1171.84474466388
"Gm5634",0,0,0,0,0,0,0,0,0,0
"Gm14511",0,0,0,0,0,0,0,0,0,0
"Gm14458",0,0,0,0,0,0,0,0,0,0
"Fthl17",0,0,0,0,0,0,0,0,0,0
"Gm14499",0,0,0,0,0,0,0,0,0,0
"Gm5635",0,0,0,0,0,0,0,0,0,0
"4930402K13Rik",0,0,0,0,0,0,0,0,0,0
"Lancl3",57.634410469979,36.8587955966915,9.87675650764649,20.2659058101866,9.71913971678329,46.3492596775509,23.9957342398819,23.4498437285071,36.8179264704863,42.3923163444299
"Xk",321.882745266298,305.760463472554,229.360234455346,267.03311185187,284.770793701751,244.724091097469,249.186470952619,249.831027415249,252.465781511906,392.633596618648
"1700012L04Rik",2.17488341396147,0.837699899924807,0,0,2.91574191503499,0.926985193551018,3.69165142152029,0.901917066481042,1.05194075629961,0
"Gm14501",1.08744170698074,0.837699899924807,0,0,0,0.926985193551018,3.69165142152029,0.901917066481042,1.05194075629961,0
"LOC100862340",0,0,0,0,0,0,0,0,0,0
"Cybb",10.8744170698074,6.70159919939845,10.974173897385,11.9211210648156,11.66296766014,39.8603633226938,30.4561242275424,26.1555949279502,39.9737487393851,58.541770189927
"Gm5132",0,0.837699899924807,0,0,0,0,0,0,0,0
"Dynlt3",2231.43038272447,2205.66383650202,1932.5520233295,2096.92519530107,2093.50269499512,2212.71365700628,2060.8644060637,2231.3428224741,1844.05214579321,2082.27020520378
"1700054O13Rik",0,0,0,0,0,0,0,0,0,0
"4930557A04Rik",0,0,0,0,0,0,0,0,0,0
"Sytl5",30.4483677954606,15.9162980985713,15.363843456339,16.6895694907419,0.971913971678329,28.7365410000816,11.9978671199409,18.0383413296208,18.9349336133929,43.4016572097735
"Srpx",11.9618587767881,3.35079959969923,4.38966955895399,14.3053452777788,6.80339780174831,15.7587482903673,13.8436928307011,13.5287559972156,5.25970378149804,9.08406778809212
"Rpgr",381.692039150239,400.420552164058,311.666538685734,406.510228310213,436.38937328357,339.276580839673,423.617000619453,396.843509251659,272.452655881598,380.521506234526
"Otc",0,1.67539979984961,1.0974173897385,2.38422421296313,0,1.85397038710204,3.69165142152029,0,0,3.02802259603071
"4933416E14Rik",1.08744170698074,4.18849949962403,6.58450433843099,0,1.94382794335666,0,0.922912855380072,0,0,4.03736346137428
"Tspan7",28961.834982018,27066.9214664704,29621.4901838215,23154.3934441914,29451.9090837684,28072.819601499,27897.8097924288,29208.5841979886,30889.1883679817,27470.2209911906
"Mid1ip1",3966.98734706573,3796.45594645922,4869.24095826972,4229.61375379658,4193.80878779199,4049.9983106244,4226.01796478535,4574.52336119185,5018.80934830543,3631.60843350616
"Gm14483",0,0,0,0,0,0,0,0,0,0
"Gm14474",0,0,0,0,0,0,0,0,0,0
"Gm14477",0,0,0,0,0,0,0,0,0,0
"Gm14476",0,0,0,0,0,0,0,0,0,0
"Gm14484",0,0,0,0,0,0,0,0,0,0
"Gm14479",0,0,0,0,0,0,0,0,0,0
"Gm14482",0,0,0,0,0,0,0,0,0,0
"Gm14478",0,0,0,0,0,0,0,0,0,0
"Gm14475",0,0,0,0,0,0,0,0,0,0
"Gm4906",0,0,0,0,0,0,0,0,0,0
"Bcor",550.245503732253,468.274244057967,370.927077731612,369.554753009284,356.692427605947,418.99730748506,432.846129173254,403.156928717026,391.321961343454,569.268248053773
"2900008C10Rik",100.044637042228,100.523987990977,160.222938901821,122.787546967601,116.6296766014,151.098586548816,114.441194067129,123.562638107903,99.9343718484627,85.7939735542034
"Gm14635",0,0.837699899924807,0,1.19211210648156,0,0,0,0,0,0
