"","A2011","A2012","A2013","A2014","A2015","A2001","A2003","A2002","A2004","A2005"
"Olfr905",0,0,0,0,0,0,0,0,0,0
"Olfr906",0,0,0,0,0,0,0,0,0,0
"Olfr907",0,0,0,0,0,0,0,0,0,0
"Olfr908",0,0,0,0,0,0,0,0,0,0
"Olfr911-ps1",0,0,0,0,0,0,0,0,0,0
"Olfr910",0,0,0,0,0,0,0,0,0,0
"Olfr912",0,0,0,0,0,0,0,0,0,0
"Olfr913",0,0,0,0,0,0,0,0,0,0
"Olfr914",0,0,0,0,0,0,0,0,0,0
"Olfr915",0,0,0,0,0,0,0,0,0,0
"Olfr916",0,0,0,0,0,0,0,0,0,0
"Olfr917",0,0,0,0,0,0,0,0,0,0
"Olfr918",0,0,0,0,0,0,0,0,0,0
"Olfr919",0,0,0,0,0,0,0,0,0,0
"Vwa5a",129.354606274147,149.845520248442,151.112543686226,104.629287583115,131.846638412589,128.491246896065,139.313790492762,117.460461150187,137.266294565267,126.233857791864
"Olfr920",0,0,0,0,2.53551227716518,1.09821578543645,0,0,0,0
"Olfr921",0,0,0,0,0,0,0,0,0,0
"Olfr922",0,0,0,0,0,0,0,0,0,0
"Olfr923",0,0,0,0,0,0,0,0,0,0
"Olfr924",0,0,0,0,0,0,0,0,0,0
"Olfr26",0,0,0,0,0,0,0,0,0,0
"Olfr926",0,0,0,0,0,0,0,0,0,0
"Olfr930",0,0,0,0,0,0,0,0,0,0
"Olfr933",0,0,0,0,0,0,0,0,0,0
"Olfr934",0,0,0,0,0,0,0,0,0,0
"Olfr935",0,0,0,0,0,0,0,0,0,0
"Olfr146",0,0,0,0,0,0,0,0,0,0
"Olfr936",0,0,0,0,0,0,0,0,0,0
"Olfr937",0,0,0,0,0,0,0,0,0,0
"Olfr938",0,0,0,0,0,0,0,0,0,0
"Olfr27",0,0,0,0,0,0,0,0,0,0
"Olfr943",0,0,0,0,0,0,0,0,0,0
"Olfr944",0,0,0,0,0,0,0,0,0,0
"Olfr1537-ps1",0,0,0,0,0,0,0,0,0,0
"Olfr945",0,0,0,0,0,0,0,0,0,0
"Olfr947-ps1",0,0,0,0,0,0,0,0,0,0
"Olfr948",0,0,0,0,0,0,0,0,0,0
"Olfr951",0,0,0,0,0,0,0,0,0,0
"Olfr952",0,0,0,0,0,0,0,0,0,0
"Olfr954",0,0,0,0,0,0,0,0,0,0
"Olfr955",0,0,0,0,0,0,0,0,0,0
"Olfr44",0,0,0,0,0,0,0,0,0,0
"Olfr957",0,0,0,0,0,0,0,0,0,0
"Olfr958",0,0,0,0,0,0,0,0,0,0
"Olfr959",0,0,0,0,0,0,0,0,0,0
"AW551984",416.389645013861,419.989556752677,456.004323006083,157.990224250504,294.964594910216,261.375356933876,273.889016683049,312.787969579711,713.957393745132,432.068732767274
"Olfr148",0,0,0,0,0,0,0,0,0,0
"Olfr960",0,0,0,0,0,0,0,0,0,0
"Olfr961",0,0,0,0,0,0,0,0,0,0
"Olfr963",0,0,0,0,0,0,0,0,0,0
"Olfr149",0,0,0,0,0,0,0,0,0,0
"Olfr965",0,0,0,0,0,0,0,0,0,0
"Olfr150",0,0,0,0,0,0,0,0,0,0
